Day,Reef,Depth,Salinity,TSS,Temp,DO
11,19,6.458686625,16.37948011,5.440906947,2.936032851,12.26986333
11,20,7.429508732,16.39545498,5.440906947,3.115783147,12.14271876
12,1,8.77460946,20.28905507,10.68425423,4.783309571,12.78347477
12,2,2.987162276,19.92708844,10.68425423,4.444808558,12.919553
12,3,8.091964535,19.83719672,10.68425423,4.676325325,12.89884408
12,4,7.496664976,19.62672382,10.68425423,4.133472811,13.02888632
12,5,10.03942029,18.62078345,10.68425423,3.184888135,13.40651987
12,6,1.894063944,18.1809819,6.412265555,3.278531897,13.5538256
12,7,7.612968844,18.25762404,6.412265555,2.889986471,13.23284717
12,8,8.336454566,17.73217706,6.412265555,2.633980197,13.70243198
12,9,5.736694009,17.76633011,6.412265555,2.661529107,13.47820204
12,10,2.947856197,16.93366666,6.412265555,2.274836328,13.87531151
12,11,5.692685305,16.90334254,6.412265555,2.260040079,13.80081803
12,12,3.14960315,16.78725978,5,2.20851021,13.54335753
12,13,3.249615362,17.57406805,6.412265555,2.585447509,12.67199867
12,14,6.557737295,16.75477378,5,2.202446365,13.516606
12,15,6.565474247,17.13050972,5.415719489,2.3958442,12.76634784
12,16,7.938506519,17.0839221,5.415719489,2.211168305,12.76527695
12,17,7.49504095,16.32429682,5.415719489,2.425916403,12.58700084
12,18,6.922046247,16.33049053,5.415719489,2.581603779,12.47186615
12,19,6.458686625,16.35743303,5.415719489,2.787541421,12.33697528
12,20,7.429508732,16.36842026,5.415719489,2.958698384,12.21451407
13,1,8.77460946,20.33175693,10.63216373,4.625799418,12.8076026
13,2,2.987162276,19.95870017,10.63216373,4.297436352,12.95219788
13,3,8.091964535,19.88549329,10.63216373,4.513270255,12.91544386
13,4,7.496664976,19.64753799,10.63216373,3.996417122,13.06977174
13,5,10.03942029,18.61053646,10.63216373,3.076595147,13.47125195
13,6,1.894063944,18.18530592,6.387290223,3.151993726,13.6049054
13,7,7.612968844,18.2442771,6.387290223,2.789293467,13.29664754
13,8,8.336454566,17.71036017,6.387290223,2.533175308,13.77575961
13,9,5.736694009,17.74912797,6.387290223,2.560072188,13.54571308
13,10,2.947856197,16.91054386,6.387290223,2.172936364,13.94799882
13,11,5.692685305,16.88256383,6.387290223,2.159675906,13.86793761
13,12,3.14960315,16.77404908,5,2.111942248,13.59389182
13,13,3.249615362,17.57511311,6.387290223,2.482723965,12.71679492
13,14,6.557737295,16.74138329,5,2.103535182,13.57022983
13,15,6.565474247,17.13073546,5.390726549,2.291725456,12.81083364
13,16,7.938506519,17.0892978,5.390726549,2.11406058,12.80825773
13,17,7.49504095,16.31242953,5.390726549,2.298607565,12.64278223
13,18,6.922046247,16.31398008,5.390726549,2.446127774,12.53231052
13,19,6.458686625,16.33501039,5.390726549,2.641981793,12.40310556
13,20,7.429508732,16.34092939,5.390726549,2.804502624,12.28536705
14,1,8.77460946,20.36744164,10.58790804,4.471808193,12.83224461
14,2,2.987162276,19.98443729,10.58790804,4.153255851,12.985024
14,3,8.091964535,19.92607502,10.58790804,4.354907553,12.93255529
14,4,7.496664976,19.6636194,10.58790804,3.862143221,13.11052744
14,5,10.03942029,18.59876115,10.58790804,2.970185786,13.53492381
14,6,1.894063944,18.18623032,6.362576205,3.029183827,13.65518641
14,7,7.612968844,18.23039249,6.362576205,2.690142502,13.35928871
14,8,8.336454566,17.68810075,6.362576205,2.434606335,13.84756374
14,9,5.736694009,17.73148982,6.362576205,2.460711906,13.61185006
14,10,2.947856197,16.88716479,6.362576205,2.074094153,14.01895787
14,11,5.692685305,16.86154353,6.362576205,2.062327863,13.93342363
